name,rgb
red,#97564B
yellow,#E5B45B
blue,#5A8DC2
glass,#5A8DC2
"mustard yellow",#556b2f
"seaweed green",#197C3B
"light blue",#add8e6
"light_blue",#add8e6
"dark red",#88000E
"dark_red",#88000E
"light orange",#EAA64B
"light_orange",#EAA64B
"light_yellow",#E5B45B
"light yellow",#E5B45B
"light green",#90ee90
"light_green",#90ee90
"light_blue",#add8e6
"light blue",#add8e6
"light brown",#6C4E3A
"light_brown",#6C4E3A
"light grey",#666666
"light_grey",#666666
"light gray",#666666
"light_gray",#666666
"dark_gray",#a9a9a9
"dark gray",#a9a9a9
"dark grey",#a9a9a9
"dark_grey",#a9a9a9
"dark_green",#006400
"dark green",#006400
